split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.7,1,rf,0.8880135600080956,0.2564776300307283,0.0220952629083634,"{""clf__max_depth"": 12}"
S1,1001,0.7,1,svm_linear_cal,0.8294828981987452,0.2215227848282036,0.0224061265413358,"{""clf__C"": 1.0}"
S1,1001,0.7,1,xgb,0.9035063752276868,0.2409872509496947,0.0221635793729138,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.7,2,extratrees,0.8899535647399881,0.2758208352132938,0.0213298887310606,"{""clf__max_depth"": null}"
S1,1001,0.7,2,lr_l2,0.8478821929757049,0.2425639809881943,0.0221479586362628,"{""clf__C"": 1.0}"
S1,1001,0.7,2,rf,0.8961851253238925,0.2816722560372627,0.0215052141013557,"{""clf__max_depth"": 12}"
S1,1001,0.7,2,svm_linear_cal,0.833736114317966,0.2321247041039512,0.022687282198073,"{""clf__C"": 0.1}"
S1,1001,0.7,2,xgb,0.8915518612586264,0.3011501162007907,0.0208476458490027,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.7,3,extratrees,0.8934297955309269,0.3720089209821891,0.0210915834110501,"{""clf__max_depth"": 12}"
S1,1001,0.7,3,lr_l2,0.8608686728751379,0.330883504300355,0.0201757237273074,"{""clf__C"": 1.0}"
S1,1001,0.7,3,rf,0.900951794556043,0.3282731140675751,0.0207276798387899,"{""clf__max_depth"": 12}"
S1,1001,0.7,3,svm_linear_cal,0.8599707534826446,0.3557377986668814,0.0202057716788971,"{""clf__C"": 0.1}"
S1,1001,0.7,3,xgb,0.9050411760178556,0.4285366192774473,0.0186808700855366,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
